name,setting,unit,category,context,vartype,source,boot_val,reset_val,pending_restart
debug_pretty_print,on,,Reporting and Logging / What to Log,user,bool,default,on,on,False
debug_print_parse,off,,Reporting and Logging / What to Log,user,bool,default,off,off,False
debug_print_plan,off,,Reporting and Logging / What to Log,user,bool,default,off,off,False
debug_print_rewritten,off,,Reporting and Logging / What to Log,user,bool,default,off,off,False
default_statistics_target,100,,Query Tuning / Other Planner Options,user,integer,default,100,100,False
default_table_access_method,heap,,Client Connection Defaults / Statement Behavior,user,string,default,heap,heap,False
default_tablespace,,,Client Connection Defaults / Statement Behavior,user,string,default,,,False
default_text_search_config,pg_catalog.english,,Client Connection Defaults / Locale and Formatting,user,string,configuration file,pg_catalog.simple,pg_catalog.english,False
default_toast_compression,pglz,,Client Connection Defaults / Statement Behavior,user,enum,default,pglz,pglz,False
default_transaction_deferrable,off,,Client Connection Defaults / Statement Behavior,user,bool,default,off,off,False
default_transaction_isolation,read committed,,Client Connection Defaults / Statement Behavior,user,enum,default,read committed,read committed,False
default_transaction_read_only,off,,Client Connection Defaults / Statement Behavior,user,bool,default,off,off,False
